word,ko,zh,pron_us,pron_uk
antonym,반의어,反義詞,ˈæn.tə.nɪm,ˈæn.tə.nɪm
release,"(갇히거나 구속되어 있는 상태에서) 풀어 주다, 석방[해방]하다",釋放，放走；放開，鬆開,rɪˈliːs,rɪˈliːs
erudite,"학식 있는, 박식한",博學的；有學問的；博大精深的,ˈer.ʊ.daɪt,ˈer.ʊ.daɪt
degrade,비하[모멸]하다,貶低；降低…的身份；侮辱…的人格,dɪˈɡreɪd,dɪˈɡreɪd
grandiloquent,말을 거창하게 하는,（尤指為了使某人或者某物顯得重要而）賣弄詞藻的，言辭浮誇的，過分華麗的,ɡrænˈdɪl.ə.kwənt,ɡrænˈdɪl.ə.kwənt
circumspect,신중한,小心的；謹慎的；審慎的,ˈsɜː.kəm.spekt,ˈsɜː.kəm.spekt
venerate,공경[숭배]하다,,,
culpable,"과실이 있는, 비난받을 만한",應受譴責的；該受處罰的；該對錯誤負責的,ˈkʌl.pə.bəl,ˈkʌl.pə.bəl
laconic,"말을 많이 하지 않는, 할 말만 하는",（語言）簡潔的，言簡意賅的,ləˈkɒn.ɪk,ləˈkɒn.ɪk
obdurate,고집 센,頑固的；執拗的,ˈɒb.dʒə.rət,ˈɒb.dʒə.rət
loathing,"혐오(감), 증오(심)",憎恨，憎惡,ˈləʊ.ðɪŋ,ˈləʊ.ðɪŋ
amatory,"성욕의, 성적인",性愛的；情愛的,ˈæm.ə.tər.i,ˈæm.ə.tər.i
eugenics,우생학,優生學；人種改良學,juːˈdʒen.ɪks,juːˈdʒen.ɪks
effigy,조상(彫像),（尤指被憎恨人的）模擬像，雕像；畫像：,ˈef.ɪ.dʒi,ˈef.ɪ.dʒi
rapacious,탐욕스러운,巧取豪奪的，貪婪的，掠奪的,rəˈpeɪ.ʃəs,rəˈpeɪ.ʃəs
frankness,"솔직, 터놓음",坦率，坦誠,ˈfræŋk.nəs,ˈfræŋk.nəs
levee,(강가의) 제방,防洪堤（在河邊由土等材料築成的牆，以防止河水溢出）,ˈlev.i,ˈlev.i
factitious,"(진짜처럼 보이도록) 꾸며낸, 인위적인",虛假的；人為的,fækˈtɪʃ.əs,fækˈtɪʃ.əs
malice,"악의, 적의",惡意，害人之心,ˈmæl.ɪs,ˈmæl.ɪs
peregrination,(특히 느리게 계속되는) 긴 여행[여정],（尤指徒步的）旅行；漫遊；旅程；遊歷,ˌper.ə.ɡrɪˈneɪ.ʃən,ˌper.ə.ɡrɪˈneɪ.ʃən
dorsal,(물고기나 동물의) 등에 있는[등의],（動物）背部的，背上的，背側的,ˈdɔː.səl,ˈdɔː.səl
amulet,(불운 등을 막아 주는) 부적,（戴在身上的）護身符，辟邪物,ˈæm.jə.lət,ˈæm.jə.lət
homograph,"동형이의어(‘절하다’는 뜻의 bow/baʊ/와 ‘활’이라는 뜻을 갖는 bow/bæʊ/, /boʊ/처럼 철자는 같으나 뜻은 다른 낱말. 발음은 같을 수도 있고 다를 수도 있음)",同形異義詞（讀音可能相同或不同）,ˈhɒm.ə.ɡrɑːf,ˈhɒm.ə.ɡrɑːf
ambidextrous,"양손잡이의, 양손을 다 잘 쓰는",雙手都很靈巧的；左右開弓的,ˌæm.bɪˈdek.strəs,ˌæm.bɪˈdek.strəs
excoriate,"(피부가) 벗겨지게 하다, 찰과상을 입히다",嚴厲指責，痛斥（戲劇、書、政治行為等）,ekˈskɔː.ri.eɪt,ekˈskɔː.ri.eɪt
curmudgeon,괴팍한 사람(보통 노인),脾氣乖戾的老人，壞脾氣的老人,kəˈmʌdʒ.ən,kəˈmʌdʒ.ən
contrition,"[U] (죄를) 뉘우침, 회오; [신학] 회개",,,
hackneyed,진부한,（語詞或觀點）陳腐的，老套的,ˈhæk.nid,ˈhæk.nid
cosmonaut,(과거 러시아의) 우주 비행사,（前蘇聯的）宇航員，太空人,ˈkɒz.mə.nɔːt,ˈkɒz.mə.nɔːt
belie,착각하게 만들다,給人以假像；掩飾（感情等）,bɪˈlaɪ,bɪˈlaɪ
pictionary,단어를 보고 그림을 그려서 어떤 단어인지 맞추는 게임. 보통 짝을 지어서 그룹 대 그룹으로 게임을 한다.,,,
interim,(영구적인 것이 나올 때까지 존속시키기 위한) 중간[임시/과도]의,,,
insouciant,"무관심한; 태평한, 걱정 없는",,,
capricious,변덕스러운,反覆無常的,kəˈprɪʃ.əs,kəˈprɪʃ.əs
desert,사막,沙漠，荒漠,ˈdez.ət,ˈdez.ət
concordance,(어떤 책 등에서 그 속에 사용된 어휘들을 알파벳순으로 정리한) 용어 색인,（書籍或作品中按字母順序排列的）詞語索引,kənˈkɔː.dəns,kənˈkɔː.dəns
efface,"지우다, 없애다",抹去，擦掉；消除,ɪˈfeɪs,ɪˈfeɪs
gyrate,"빙빙 돌다, 선회하다; (특히 신체 일부를) 빙빙 돌리다",（通常指很快地）旋轉，迴旋，轉動,dʒaɪˈreɪt,dʒaɪˈreɪt
enjoin,(무엇을 하도록) 명하다[이르다],囑咐；吩咐,ɪnˈdʒɔɪn,ɪnˈdʒɔɪn
dismay,"(충격을 받은 뒤의) 실망, 경악",沮喪，灰心，失望,dɪˈsmeɪ,dɪˈsmeɪ
fortuitous,"우연한, (특히) 행운의",（有利的事）偶然發生的，碰巧的,fɔːˈtʃuː.ɪ.təs,fɔːˈtʃuː.ɪ.təs
quotidian,"일상적인, 보통의",平常的，普通的；日常的,kwəʊˈtɪd.i.ən,kwəʊˈtɪd.i.ən
intrinsic,"고유한, 본질적인",固有的，本質的，根本的,ɪnˈtrɪn.zɪk,ɪnˈtrɪn.zɪk
lambaste,(특히 공개적으로) 맹공격[비판]하다,猛烈抨擊；狠狠批評,læmˈbæst,læmˈbæst
laxative,완하제(배변을 쉽게 하는 약·음식·음료),瀉藥，通便劑,ˈlæk.sə.tɪv,ˈlæk.sə.tɪv
esoteric,"소수만 이해하는[즐기는], 비전(秘傳)의",極不尋常的；只有少數人（尤指內行）才懂的；限於小圈子的,ˌiː.səˈter.ɪk,ˌiː.səˈter.ɪk
melancholic,(특히 병적으로) 우울한,憂鬱的,ˌmel.əŋˈkɒl.ɪk,ˌmel.əŋˈkɒl.ɪk
endow,(학교 등의 기관에 많은 돈을) 기부하다,向（院校、醫院等）捐款，捐贈，資助,ɪnˈdaʊ,ɪnˈdaʊ
alibi,알리바이,（尤指沒有犯罪時間的）不在犯罪現場的證據,ˈæl.ɪ.baɪ,ˈæl.ɪ.baɪ
induct,취임시키다,使正式就任；正式吸收…為會員；使入門；傳授,ɪnˈdʌkt,ɪnˈdʌkt
condolence,"애도, 조의",弔唁（詞）；哀悼（詞）,kənˈdəʊ.ləns,kənˈdəʊ.ləns
revile,매도하다,謾罵；辱罵；痛斥,rɪˈvaɪl,rɪˈvaɪl
fissure,(특히 암석·지면의) 길게 갈라진 틈,（岩石或土地的）裂縫，裂隙,ˈfɪʃ.ər,ˈfɪʃ.ər
orifice,(특히 인체의) 구멍,（尤指身體的）孔，竅，穴，腔,ˈɒr.ɪ.fɪs,ˈɒr.ɪ.fɪs
inchoate,이제 시작 단계인,才開始的；不完全的；未發展完善的,ɪnˈkəʊ.eɪt,ɪnˈkəʊ.eɪt
sonorous,"(소리가) 듣기 좋은, 낭랑한",（聲音）渾厚的,ˈsɒn.ər.əs,ˈsɒn.ər.əs
immoral,"비도덕적인, 부도덕한",不道德的，道德敗壞的,ɪˈmɒr.əl,ɪˈmɒr.əl
fluctuation,"(방향·위치·상황의) 변동, 오르내림; 파동; (사람·마음의) 동요; [pl.] 성쇠, 흥망(ups and downs)",,,
kinesthetic,운동 감각(성)의,,,
synopsis,(글·희곡 등의) 개요,（電影、書籍等的）概要，梗概，提要,sɪˈnɒp.sɪs,sɪˈnɒp.sɪs
perfidy,배신,背信棄義（行為）；不忠貞（行為）,ˈpɜː.fɪ.di,ˈpɜː.fɪ.di
defunct,(지금은) 현존하지[행해지지/사용되지] 않는,不復存在的；死亡的；失靈的,dɪˈfʌŋkt,dɪˈfʌŋkt
equitable,"공정한, 공평한",公平合理的；公正的,ˈek.wɪ.tə.bəl,ˈek.wɪ.tə.bəl
catholic,,廣泛的；包羅萬象的,ˈkæθ.əl.ɪk,ˈkæθ.əl.ɪk
chastise,꾸짖다,嚴厲批評，譴責，斥責,tʃæsˈtaɪz,tʃæsˈtaɪz
abortive,"무산된, 유산된, 수포로 돌아간",失敗的；夭折的；無結果的,əˈbɔː.tɪv,əˈbɔː.tɪv
refute,논박[반박]하다,駁斥；反駁；否認…的正確性（或真實性）,rɪˈfjuːt,rɪˈfjuːt
pusillanimous,"겁 많은, 겁쟁이인",怯懦的，膽小的,ˌpjuː.sɪˈlæn.ɪ.məs,ˌpjuː.sɪˈlæn.ɪ.məs
apace,"빠른 속도로, 빨리",飛快，迅速,əˈpeɪs,əˈpeɪs
impartial,공정한,公正的，無偏見的,ɪmˈpɑː.ʃəl,ɪmˈpɑː.ʃəl
enthrall,마음을 사로잡다,,,
avouch,진실이라고 단언[언명]하다,,,
confer,상의하다,（常指爲達成行動決議而）商討，商議，協商,kənˈfɜːr,kənˈfɜːr
acquaint,"익히다, 숙지하다",使認識；使了解；使熟悉；使知悉,əˈkweɪnt,əˈkweɪnt
err,실수를 범하다,犯錯誤；做錯事；出差錯,ɜːr,ɜːr
perennial,"(아주 오랫동안) 지속되는, 영원한; 계속 반복되는",長期存在的；常年的；不斷發生的；反覆的,pəˈren.i.əl,pəˈren.i.əl
odd-even,(석유 부족시의 휘발유 판매에서) 홀수·짝수 방식의,,,
droll,우스꽝스러운,滑稽可笑的，古怪離奇的,drəʊl,drəʊl
rhetoric,미사여구,雄辯言辭；煽動性語言,ˈret.ər.ɪk,ˈret.ər.ɪk
enervate,기력을 떨어뜨리다,使衰弱；使無力；使喪失活力,ˈen.ə.veɪt,ˈen.ə.veɪt
carnage,대학살,（尤指戰爭中的）大屠殺，殘殺,ˈkɑː.nɪdʒ,ˈkɑː.nɪdʒ
truism,뻔한 말[소리],自明之理，不言而喻的話,ˈtruː.ɪ.zəm,ˈtruː.ɪ.zəm
abeyance,"(일시적) 중지, 정지",擱置；暫時中止；暫緩,əˈbeɪ.əns,əˈbeɪ.əns
appraisal,(가치·업적·본질에 대한) 평가[판단],評定；鑒定；估價；評價,əˈpreɪ.zəl,əˈpreɪ.zəl
dubiety,"의심스러움, 불확실함",,,
irascible,화를 잘 내는,易怒的，性情暴躁的,ɪˈræs.ə.bəl,ɪˈræs.ə.bəl
sidle,(주저주저하듯) 옆걸음질 치다,側身而行；悄悄地走,ˈsaɪ.dəl,ˈsaɪ.dəl
malady,"심각한 문제, 병폐",病，疾病,ˈmæl.ə.di,ˈmæl.ə.di
congregate,모이다,聚集，集合,ˈkɒŋ.ɡrɪ.ɡeɪt,ˈkɒŋ.ɡrɪ.ɡeɪt
capitulate,(오랫동안 거부하던 것에) 굴복하다,投降；屈服；停止抵抗,kəˈpɪtʃ.ə.leɪt,kəˈpɪtʃ.ə.leɪt
aggrandize,"크게 하다, 확대하다(enlarge); 과장하다",擴大…的權勢；提高…的地位,əˈɡræn.daɪz,əˈɡræn.daɪz
discrete,(같은 종류의 다른 것들과) 별개의,獨立的，各自的，單獨的,dɪˈskriːt,dɪˈskriːt
apocalypse,(세계의) 파멸,大災變；大動亂,əˈpɒk.ə.lɪps,əˈpɒk.ə.lɪps
hiatus,(행동의) 중단,間斷，間隙,haɪˈeɪ.təs,haɪˈeɪ.təs
hologram,홀로그램(입체 사진술에 의한 입체 화상),全息圖，全息影像,ˈhɒl.ə.ɡræm,ˈhɒl.ə.ɡræm
enervated,"활력을 잃은, 무기력한",,,
inhibit,억제[저해]하다,使…拘謹；使…有顧忌,ɪnˈhɪb.ɪt,ɪnˈhɪb.ɪt
scheme,"(운영) 계획, 제도",陰謀，詭計,skiːm,skiːm
specious,허울만 그럴 듯한,似是而非的；貌似有理的；虛假的,ˈspiː.ʃəs,ˈspiː.ʃəs
anterior,"앞쪽인, 앞의",前部的，前面的；向前的,ænˈtɪə.ri.ər,ænˈtɪə.ri.ər
canard,"허위 보도, 유언비어",虛假新聞；謊報；假消息,ˈkæn.ɑːd,ˈkæn.ɑːd
vitiate,(무엇의 효과를) 해치다[떨어뜨리다],毀壞；破壞；削弱,ˈvɪʃ.i.eɪt,ˈvɪʃ.i.eɪt
adjourn,"(재판·회의 등을) 중단하다, 휴정[휴회]하다",（使）休會；（使）休庭,əˈdʒɜːn,əˈdʒɜːn
ameliorate,개선하다,使變好，改善，改進,əˈmiːl.jə.reɪt,əˈmiːl.jə.reɪt
innocuous,악의 없는,無害的,ɪˈnɒk.ju.əs,ɪˈnɒk.ju.əs
levity,"경솔, 경박",消遣；輕率,ˈlev.ə.ti,ˈlev.ə.ti
bellicose,"호전적인, 싸우기 좋아하는",好戰的;好鬥的,ˈbel.ɪ.kəʊs,ˈbel.ɪ.kəʊs
pseudo,"허위의, 가짜의; 모조의",,,
ambulatory,보행의,（病人）不需臥床的，能走動的，晚上不需留院的,ˌæm.bjəˈleɪ.tər.i,ˌæm.bjəˈleɪ.tər.i
fracture,"골절 (부위); 균열, (갈라진) 금",（使）（骨頭等硬物）破裂，（使）斷裂，（使）折斷,ˈfræk.tʃər,ˈfræk.tʃər
judiciary,"법관[판사]들, 사법부",（政府的）司法部；司法制度,dʒuːˈdɪʃ.ər.i,dʒuːˈdɪʃ.ər.i
adage,"속담, 격언",諺語；格言,ˈæd.ɪdʒ,ˈæd.ɪdʒ
retrograde,(사태·시대 등에) 역행하는,倒退的；退步的；惡化的,ˈret.rə.ɡreɪd,ˈret.rə.ɡreɪd
cryptology,"[U] 암호 작성[해독]술; 암호학, 암호 연구",,,
invidious,부당한; 남의 심기를 건드릴[시샘을 받을],（尤指由於不公）可能招致不滿的，易引起反感的,ɪnˈvɪd.i.əs,ɪnˈvɪd.i.əs
commiserate,(화가 났거나 실망한 사람에게) 위로[동정]를 표하다,表示同情（或惋惜）,kəˈmɪz.ə.reɪt,kəˈmɪz.ə.reɪt
belabor,장황하게 논하다,,,
ascertain,(옳은 정보를) 알아내다[확인하다],弄清，確定，查明,ˌæs.əˈteɪn,ˌæs.əˈteɪn
mordant,"신랄한, 통렬한",（尤指幽默）尖銳的，尖刻而又風趣的,ˈmɔː.dənt,ˈmɔː.dənt
discreet,"신중한, 조심스러운",審慎的，謹慎的，小心的,dɪˈskriːt,dɪˈskriːt
heterogeneous,여러 다른 종류들로 이뤄진,各種各樣的；混雜的,ˌhet.ər.əˈdʒiː.ni.əs,ˌhet.ər.əˈdʒiː.ni.əs
cryptic,"수수께끼 같은, 아리송한",神秘的，隱秘的；有隱義的；費解的,ˈkrɪp.tɪk,ˈkrɪp.tɪk
animosity,"반감, 적대감",仇恨；敵意；憎惡,ˌæn.ɪˈmɒs.ə.ti,ˌæn.ɪˈmɒs.ə.ti
knell,종소리 ; 조종(弔鐘),終結的預兆，完結的信號（同 death knell）,,
inamorata,(여자) 애인,愛人，情人,ɪˌnæm.əˈrɑː.tə,ɪˌnæm.əˈrɑː.tə
impede,(진행을) 지연시키다[방해하다],妨礙，阻礙；阻止,ɪmˈpiːd,ɪmˈpiːd
accrue,"누적되다, 축적되다",積累；（逐漸）增加，增多,əˈkruː,əˈkruː
disingenuous,솔직하지 못한(특히 아는 것을 모른다고 하는),（人或其行爲）不夠誠實的，不夠坦白的,ˌdɪs.ɪnˈdʒen.ju.əs,ˌdɪs.ɪnˈdʒen.ju.əs
antipodal,"대척지(對蹠地)의, 지구상의 정반대 쪽의",,,
mellifluous,달콤한[감미로운],聲音甜美的；圓潤流暢的,melˈɪf.lu.əs,melˈɪf.lu.əs
composure,(마음의) 평정,鎮靜，沉著，泰然自若,kəmˈpəʊ.ʒər,kəmˈpəʊ.ʒər
centigrade,"<눈금이>  백분도 (百分度) 의 ; <온도계가> 섭씨의(Celsius) ((略 C, c., Cent., cent.))",攝氏溫度,,
renitent,저항[반대]하는; 완강히 반항하는,,,
captivate,…의 마음을 사로잡다[매혹하다],使著迷；迷住；吸引,ˈkæp.tɪ.veɪt,ˈkæp.tɪ.veɪt
controversy,논란,爭議；爭論；爭辯,ˈkɒn.trə.vɜː.si,ˈkɒn.trə.vɜː.si
fetter,(남의 자유를) 구속하다,束縛；限制；抑制,ˈfet.ər,ˈfet.ər
obsequies,장례식,葬禮儀式,ˈɒb.sɪ.kwiz ,ˈɒb.sɪ.kwiz 
reprove,"나무라다, 꾸짖다, 책망하다",責備；斥責；指責,rɪˈpruːv,rɪˈpruːv
hyperactive,활동 과잉의,好動亢奮的，過度活躍的,ˌhaɪ.pərˈæk.tɪv,ˌhaɪ.pərˈæk.tɪv
vicarious,(느낌·경험이) 대리의[간접적인],間接感受到的；間接獲得的,vɪˈkeə.ri.əs,vɪˈkeə.ri.əs
overture,서곡(序曲),（尤指歌劇的）序曲，前奏曲,ˈəʊ.və.tjʊər,ˈəʊ.və.tjʊər
tinge,(아주 적은 색채를) 더하다[띠게 하다],（顏色或情感的）一絲，少許,tɪndʒ,tɪndʒ
forage,먹이를 찾다,搜尋；（尤指）覓食,ˈfɒr.ɪdʒ,ˈfɒr.ɪdʒ
pedagogue,교사; 남을 가르치기 좋아하는 사람,死板的教師；學究,ˈped.ə.ɡɒɡ,ˈped.ə.ɡɒɡ
judicious,"신중한, 판단력 있는",明斷的；明智而審慎的,dʒuːˈdɪʃ.əs,dʒuːˈdɪʃ.əs
attest,증명[입증]하다,表明；證明；證實,əˈtest,əˈtest
malevolent,"악의 있는, 악의적인",惡意的；惡毒的；有害的,məˈlev.əl.ənt,məˈlev.əl.ənt
recalcitrant,(규칙·지시에) 저항[반항]하는; 다루기 힘든,（人）不守規章的，桀驁不馴的；（動物）不馴服的,rɪˈkæl.sɪ.trənt,rɪˈkæl.sɪ.trənt
adjoin,"인접하다, 붙어 있다",緊挨；鄰接；貼近；毗連,əˈdʒɔɪn,əˈdʒɔɪn
recant,(흔히 공식적으로 신념·견해를) 철회하다,公開宣佈放棄（以前的信仰）,rɪˈkænt,rɪˈkænt
fulsome,(칭찬·감사·사과 등이) 지나친[진실성이 안 느껴지는],過分恭維的；諂媚的；言過其實的,ˈfʊl.səm,ˈfʊl.səm
bountiful,"많은, 풍부한",（數量）異常大的,ˈbaʊn.tɪ.fəl,ˈbaʊn.tɪ.fəl
propitious,(일을 하기에) 좋은[유리한],吉祥的，吉利的,prəˈpɪʃ.əs,prəˈpɪʃ.əs
hypodermic,피하 주사기,皮下注射的,ˌhaɪ.pəˈdɜː.mɪk,ˌhaɪ.pəˈdɜː.mɪk
caste,(힌두교 사회의) 카스트[계급],（印度社會的）種姓制度，種姓,kɑːst,kɑːst
implacable,"확고한, 바꿀 수 없는",不饒人的；堅定的；無法改變的,ɪmˈplæk.ə.bəl,ɪmˈplæk.ə.bəl
abridge,(책·희곡 등을) 요약[축약]하다,刪節；節略,əˈbrɪdʒ,əˈbrɪdʒ
preeminent,"(…에/…가운데서) 탁월한, 발군의, 걸출한[in /among]; 우위[상위]의; 현저한.",,,
conduct,(특정한 활동을) 하다,組織；實施；進行；處理,kənˈdʌkt,kənˈdʌkt
mollify,(사람을) 달래다[진정시키다],使平靜；撫慰,ˈmɒl.ɪ.faɪ,ˈmɒl.ɪ.faɪ
arcane,"신비로운, 불가사의한",神秘的；秘密的；晦澀難懂的,ɑːˈkeɪn,ɑːˈkeɪn
oblique,(표현이) 완곡한[에두르는/간접적인],斜的；傾斜的,əˈbliːk,əˈbliːk
candor,"[U] 공평무사, 허심 탄회; 솔직, 정직; [고어] 순백; [폐어] 순수성, 순결",,,
luminary,(특수 분야의) 전문가[권위자],（某一領域的）專家，知名人士,ˈluː.mɪ.nər.i,ˈluː.mɪ.nər.i
calumny,중상(하는 말),誹謗，誣衊，中傷,ˈkæl.əm.ni,ˈkæl.əm.ni
appease,달래다,平息；撫慰；綏靖；姑息,əˈpiːz,əˈpiːz
attenuate,"약화시키다, 희석시키다",使減少；使減弱；使降低,əˈten.ju.eɪt,əˈten.ju.eɪt
flambeau,횃불; 장식을 한 큰 촛대,,,
eccentric,"괴짜인, 별난, 기이한",怪異的，古怪的；異乎尋常的,ɪkˈsen.trɪk,ɪkˈsen.trɪk
veracity,진실성,真實；誠實；實事求是,vəˈræs.ə.ti,vəˈræs.ə.ti
insinuation,암시(된 내용),,,
intramural,교내의,學校內的,ˌɪn.trəˈmjʊə.rəl,ˌɪn.trəˈmjʊə.rəl
journey,(특히 멀리 가는) 여행[여정/이동],（尤指搭乘交通工具的）旅行，行程,ˈdʒɜː.ni,ˈdʒɜː.ni
segregate,(사람들을 인종·종교·성별에 따라) 분리[차별]하다,（尤指基於種族或性別原因）隔離並差別對待,ˈseɡ.rɪ.ɡeɪt,ˈseɡ.rɪ.ɡeɪt
propriety,(행동의 도덕적·사회적) 적절성,（行為）端正，得體，合宜,prəˈpraɪə.ti,prəˈpraɪə.ti
recidivism,상습적 범행,,,
infuriate,극도로 화나게 만들다,使大怒，激怒,ɪnˈfjʊə.ri.eɪt,ɪnˈfjʊə.ri.eɪt
dither,(결정을 못 내리고) 머무적거리다[망설이다],,,
inert,기력이 없는,不動的；不能動的,ɪˈnɜːt,ɪˈnɜːt
epoch,(중요한 사건·변화들이 일어난) 시대,（尤指出現新進步和大變革的）時代，紀元，時期,ˈiː.pɒk,ˈiː.pɒk
blithe,(하는 일에 대해) 태평스러운,歡樂的，愉快的；無憂無慮的,blaɪð,blaɪð
dour,시무룩한,（通常指人的外表或行爲）冷峻的，陰沈的，不苟言笑的,dʊər,dʊər
enmity,"원한, 증오, 적대감",仇恨，怨恨；敵意,ˈen.mə.ti,ˈen.mə.ti
axiom,"자명한 이치, 공리, 격언",（被普遍接受的）公理，原則,ˈæk.si.əm,ˈæk.si.əm
benign,"상냥한, 유순한",慈祥的；和善的,bɪˈnaɪn,bɪˈnaɪn
carnivorous,<동물이> 육식성의; <식물이> 식충성의,,,
emancipate,(법적·정치적·사회적 제약에서) 해방시키다,解放；給予人們政治或社會自由權利,iˈmæn.sɪ.peɪt,iˈmæn.sɪ.peɪt
rebarbative,"매력적이 못 되는, 호감이 안 가는",,,
homosexual,동성애자(보통 남자),（尤指男性）同性戀者,ˌhəʊ.məˈsek.ʃu.əl,ˌhəʊ.məˈsek.ʃu.əl
penury,극빈,赤貧,ˈpen.jə.ri,ˈpen.jə.ri
imperious,고압적인,專橫的，跋扈的,ɪmˈpɪə.ri.əs,ɪmˈpɪə.ri.əs
synchronous,동시 발생[존재]하는,同時的,ˈsɪŋ.krə.nəs,ˈsɪŋ.krə.nəs
dejected,"실의에 빠진, 낙담한",沮喪的；失意的；失望的,dɪˈdʒek.tɪd,dɪˈdʒek.tɪd
centrist,중도주의자,中間派的；溫和派的,ˈsen.trɪst,ˈsen.trɪst
gullible,"남을 잘 믿는, 잘 속아 넘어가는",容易上當的，易受欺騙的，輕信的,ˈɡʌl.ə.bəl,ˈɡʌl.ə.bəl
propitiate,달래다,使息怒；勸解；撫慰,prəˈpɪʃ.i.eɪt,prəˈpɪʃ.i.eɪt
haphazard,"무계획적인, 되는 대로의",無秩序的，無計劃的，隨意的,ˌhæpˈhæz.əd,ˌhæpˈhæz.əd
impugn,의문을 제기하다,抨擊；質疑,ɪmˈpjuːn,ɪmˈpjuːn
martinet,(명령·규율에) 아주 엄격한 사람,嚴格執行規章制度的人,ˌmɑː.tɪˈnet,ˌmɑː.tɪˈnet
incipient,막 시작된,剛開始的；早期的,ɪnˈsɪp.i.ənt,ɪnˈsɪp.i.ənt
foster,"조성하다, 발전시키다",收養，代養，撫育（他人子女，通常指有限的一段時間）,ˈfɒs.tər,ˈfɒs.tər
incarnation,(특정한 형태로 사는) 생애,（宗教觀念中人的）化身,ˌɪn.kɑːˈneɪ.ʃən,ˌɪn.kɑːˈneɪ.ʃən
recidivist,상습범,累犯；慣犯,rɪˈsɪd.ɪ.vɪst,rɪˈsɪd.ɪ.vɪst
cosmopolitan,(문화의 다양성 면에서) 세계적인[국제적인],來自世界各地的；國際大都會的；世界性的,ˌkɒz.məˈpɒl.ɪ.tən,ˌkɒz.məˈpɒl.ɪ.tən
dulcimer,덜시머(두 개의 나무망치로 철선을 두드려 소리를 내는 타악기),揚琴；洋琴,ˈdʌl.sɪ.mər,ˈdʌl.sɪ.mər
eclectic,절충적인; 다방면에 걸친,不拘一格的；相容並蓄的；博採眾長的,ekˈlek.tɪk,ekˈlek.tɪk
laudable,(비록 성공하지 못한다 하더라도) 칭찬[감탄]할 만한,（行為）值得讚揚的，值得稱讚的,ˈlɔː.də.bəl,ˈlɔː.də.bəl
loquacious,말이 많은,健談的，話多的,ləˈkweɪ.ʃəs,ləˈkweɪ.ʃəs
prolific,다작하는,作品豐富的；多產的,prəˈlɪf.ɪk,prəˈlɪf.ɪk
recumbent,누워 있는,躺著的；躺倒的,rɪˈkʌm.bənt,rɪˈkʌm.bənt
craven,"용기 없는, 비겁한",怯懦的，懦弱的，膽小的,ˈkreɪ.vən,ˈkreɪ.vən
penurious,"몹시 가난한, 극빈한",赤貧的,pəˈnjʊə.ri.əs,pəˈnjʊə.ri.əs
notorious,악명 높은,臭名昭著的，聲名狼藉的,nəʊˈtɔː.ri.əs,nəʊˈtɔː.ri.əs
conflagration,"큰불, 대화재",大火，大火災,ˌkɒn.fləˈɡreɪ.ʃən,ˌkɒn.fləˈɡreɪ.ʃən
hyperbole,과장법,誇張法,haɪˈpɜː.bəl.i,haɪˈpɜː.bəl.i
extradite,(범죄인을 그 관할국에) 인도하다,引渡,ˈek.strə.daɪt,ˈek.strə.daɪt
chock-full,꽉 들어찬,充滿的，塞滿的；擠滿的,ˌtʃɒkˈfʊl,ˌtʃɒkˈfʊl
interloper,침입자,闖入者,ˈɪn.təˌləʊ.pər,ˈɪn.təˌləʊ.pər
disparage,폄하하다,貶斥，貶低,dɪˈspær.ɪdʒ,dɪˈspær.ɪdʒ
carcinogenic,"발암성의, 암을 유발할",致癌的,ˌkɑː.sən.əˈdʒen.ɪk,ˌkɑː.sən.əˈdʒen.ɪk
phlegmatic,"침착한, 냉정한",冷靜的，沉著的，鎮定的,fleɡˈmæt.ɪk,fleɡˈmæt.ɪk
odium,증오,憎恨；厭惡,ˈəʊ.di.əm,ˈəʊ.di.əm
serrated,톱니 모양의,鋸齒邊的,səˈreɪ.tɪd,səˈreɪ.tɪd
perspicacious,"명민한, 총기 있는",聰穎的；敏銳的；有洞察力的,ˌpɜː.spɪˈkeɪ.ʃəs,ˌpɜː.spɪˈkeɪ.ʃəs
eulogize,칭송하다,歌頌，讚美，稱頌,ˈjuː.lə.dʒaɪz,ˈjuː.lə.dʒaɪz
melancholy,(장기적이고 흔히 이유를 알 수 없는) 우울감[비애],憂鬱的，憂傷的,ˈmel.əŋ.kɒl.i,ˈmel.əŋ.kɒl.i
ambient,주위[주변]의,周圍的；（尤指）周圍環境條件的,ˈæm.bi.ənt,ˈæm.bi.ənt
claustrophobia,밀실 공포증; 갇혀 있는 듯한 느낌,幽閉恐懼（症）,ˌklɒs.trəˈfəʊ.bi.ə,ˌklɒs.trəˈfəʊ.bi.ə
garrulous,"수다스러운, 말이 많은",（尤指對雞毛蒜皮的事情）喋喋不休的，絮叨的，饒舌的,ˈɡær.əl.əs,ˈɡær.əl.əs
berate,질책하다,嚴責，訓斥,bɪˈreɪt,bɪˈreɪt
binocular,두 눈으로 보는,同時用雙目的；雙目並用的,bɪˈnɒk.jʊ.lə,bɪˈnɒk.jʊ.lə
celerity,"(행동의) 민첩함, 기민함",速度,səˈler.ə.ti,səˈler.ə.ti
fatuous,"어리석은, 얼빠진",愚蠢的；昏庸的；錯誤的；未經認真考慮的,ˈfætʃ.u.əs,ˈfætʃ.u.əs
diffidence,"[U] 자신이 없음(opp. confidence); 기가 죽음; 삼감, 수줍음(shyness)",,,
